ra_deg,dec_deg,vlos,vlos_err,source,id,x_pc,y_pc,r_pc,v_sys_kms,vlos_rel_kms,kin_bin,n_epochs,Bpr,EMpr,Mm,vlos_span,repeat_chi2,repeat_dof,repeat_chi2_red,repeat_p,repeat_variable,match_sep_arcsec
151.65108,16.02833,200.95069675855802,3.694646806631152,Simon+2011_Table3,J100636.26+160142.0,-44.59655548993867,-21.50437624674756,49.51051362416734,208.5667270167265,-7.616030258168479,3,2,0.949,0.97,1.0,11.899999999999977,0.5362390184792467,1,0.5362390184792467,0.4639955922757699,False,0.0
151.79567,15.96061,216.9,4.5,Simon+2011_Table3,J100710.96+155738.2,11.17421045273113,-48.68892654411066,49.95472497431779,208.5667270167265,8.333272983273503,3,1,0.903,0.982,1.0,0.0,0.0,0,,1.0,False,0.0
151.63896,16.05761,210.5,11.9,Simon+2011_Table3,J100633.35+160327.4,-49.2714409123452,-9.75063093211781,50.22698172449841,208.5667270167265,1.933272983273497,3,1,0.938,0.928,1.0,0.0,0.0,0,,1.0,False,0.0
151.66387,16.00239,203.14778741383148,1.6403300513434633,Simon+2011_Table3,J100639.33+160008.6,-39.66323993279424,-31.91735962999753,50.91061232903215,208.5667270167265,-5.418939602895023,3,3,0.946,0.94,1.0,9.200000000000017,4.730081031798998,2,2.365040515899499,0.09394549400517717,False,0.0
151.66979,15.99242,217.83479169777513,3.709894997159721,Simon+2011_Table3,J100640.75+155932.7,-37.3797975482549,-35.9195741377451,51.84076649689402,208.5667270167265,9.268064681048628,3,2,0.936,0.989,1.0,18.799999999999983,5.277586979244427,1,5.277586979244427,0.021601665660222903,False,0.0
151.63267,16.10731,210.4,5.2,Simon+2011_Table3,J100631.84+160626.3,-51.69759844592316,10.20022774742946,52.69427228053677,208.5667270167265,1.8332729832735026,3,1,0.965,0.982,1.0,0.0,0.0,0,,1.0,False,0.0
151.75879,15.94636,219.2,7.5,Simon+2011_Table3,J100702.11+155646.9,-3.051018456361993,-54.40924316752249,54.49471952110272,208.5667270167265,10.633272983273486,3,1,0.898,0.991,1.0,0.0,0.0,0,,1.0,False,0.0
151.62117,16.10661,200.9,14.2,Simon+2011_Table3,J100629.08+160623.8,-56.1333395645302,9.919229737858082,57.00300807202424,208.5667270167265,-7.666727016726497,3,1,0.812,0.927,1.0,0.0,0.0,0,,1.0,False,0.0
151.67267,16.19319,209.35037558028338,4.241870886502883,Simon+2011_Table3,J100641.44+161135.5,-36.26893368551028,44.67466926452269,57.543562842236575,208.5667270167265,0.7836485635568806,3,3,0.926,0.98,1.0,3.8000000000000114,0.14489956298163198,2,0.07244978149081599,0.9301124543483043,False,0.0
151.85012,15.93864,217.20000000000002,10.0,Simon+2011_Table3,J100724.03+155619.1,32.17648035783501,-57.50824978736407,65.89783518313786,208.5667270167265,8.633272983273514,3,1,0.843,0.966,1.0,0.0,8.077935669463162e-30,0,,1.0,False,0.0
151.928,16.01858,206.8,2.2,Simon+2011_Table3,J100742.72+160106.9,62.2160906463354,-25.41827709434485,67.20811517784082,208.5667270167265,-1.7667270167264917,3,1,0.949,0.975,1.0,0.0,0.0,0,,1.0,False,0.0
151.91508,15.98825,204.5,7.000000000000001,Simon+2011_Table3,J100739.62+155917.7,57.23263192872748,-37.59351942333167,68.47515505730244,208.5667270167265,-4.066727016726503,3,1,0.885,0.971,1.0,0.0,0.0,0,,1.0,False,0.0
151.84846,16.24089,206.69999999999996,6.7,Simon+2011_Table3,J100723.63+161427.2,31.53619077026882,63.8226764881521,71.18894129294318,208.5667270167265,-1.8667270167265428,3,1,0.859,0.963,1.0,0.0,1.7994955824154956e-29,0,,1.0,False,0.0
151.76025,15.84869,209.1819004524887,1.6605728717654755,Simon+2011_Table3,J100702.46+155055.3,-2.487872192598605,-93.61649401724888,93.649545968618,208.5667270167265,0.6151734357621876,3,2,0.886,0.961,1.0,1.5,0.20361990950226244,1,0.20361990950226244,0.6518146893352637,False,0.0
